	2424_E	2424_N	3386_A	3386_AB	3386_AD	3386_AE	3386_AG	3386_AH	3386_AI	3386_AJ	3386_AK	3386_AL	3386_C	3386_D	3386_E	3386_F	3386_G	3386_H	3386_I	3386_J	3386_M	3386_N	3386_O	3386_S	3386_T	3386_U	3386_W	3386_X	3386_Y	3386_Z
3386_AK	0.297991592243446	0.43144716504128	0.289400371326678	0.307289704949267	0.353430645288166	0.333357559412802	0.210002773518424	0.290476949471505	0.289016988239665	0.28819961304575	0	0.299673972544145	0.271181725296605	0.312168099130095	0.329146946658039	0.367338072346453	0.290425459690822	0.263336544531309	0.339097558491086	0.339097558491086	0.267628692397929	0.16405879494161	0.353137655384313	0.310139366821248	0.173444129878326	0.407890454465063	0.273014832797541	0.160373680656016	0.275286278451624	0.279212122581957
3386_AL	0.093102995289169	0.292609342435768	0.080038408989713	0.080359563594429	0.236830734890261	0.145384813945673	0.113089293699585	0.086924804764596	0.266765287173611	0.192018346056501	0.299673972544145	0	0.091468071709671	0.088613912556267	0.1159178206337	0.13980340397474	0.074597808859596	0.140228150501053	0.091382944510831	0.091382944510831	0.085573332403722	0.108411997830829	0.138628226675646	0.110475275679849	0.103868315352048	0.141020045845241	0.101227092888066	0.095058770491994	0.103874037950233	0.115353395698066
3386_C	0.129379208673563	0.257066010066759	0.097856274194793	0.088667724505021	0.21325745109659	0.128263813233175	0.122627235716762	0.098045584911992	0.256795355560577	0.157459450839778	0.271181725296605	0.091468071709671	0	0.111063494388063	0.093667405472376	0.151215364117506	0.090127188367275	0.102104564658154	0.115247494816197	0.115247494816197	0.078678282274261	0.117834674038417	0.119661702916553	0.102196919256263	0.112130389806167	0.138454523021484	0.100196955821782	0.100319651422194	0.088489380056163	0.12689448529336
3386_D	0.099848276022038	0.298595324998927	0.092699976816579	0.102998265618507	0.248933848937551	0.104449236876425	0.130864153174177	0.10759554160328	0.260843492818362	0.161674681137219	0.312168099130095	0.088613912556267	0.111063494388063	0	0.116227923326881	0.145248777085763	0.098858443660594	0.13411243923082	0.116836913269175	0.116836913269175	0.084719544882768	0.114511155587671	0.102572880548408	0.107345827755124	0.107324650882024	0.129008918805172	0.104240725499811	0.09852512904767	0.123259213353901	0.10420263722726
3386_E	0.127991207277033	0.305586155687289	0.112483056277922	0.111269110676256	0.279114515900882	0.119258912285347	0.115798033778499	0.129987980579333	0.25902550349204	0.147494550199378	0.329146946658039	0.1159178206337	0.093667405472376	0.116227923326881	0	0.197854177988415	0.116941893751972	0.118762591479247	0.14614220080689	0.14614220080689	0.090987382370304	0.113320713691	0.121414122114532	0.137809678869708	0.107623254598373	0.157866149353193	0.127833546306929	0.105489225269887	0.120574189262425	0.136235460115546
3386_F	0.12511593707971	0.35016845816146	0.154953369113456	0.13520989008304	0.284543195105706	0.154179865326097	0.140862155139286	0.142986193693073	0.267056515274554	0.231856564346196	0.367338072346453	0.13980340397474	0.151215364117506	0.145248777085763	0.197854177988415	0	0.11074337044818	0.152948209234837	0.14433148139459	0.14433148139459	0.151165555420735	0.115524542318272	0.162080085834282	0.148997635898155	0.125204288303039	0.213280130576411	0.121226365673145	0.107193402245644	0.157123698829779	0.162237340994591
3386_G	0.098099634794468	0.263965330584099	0.087670125531875	0.084360527705022	0.230412087202613	0.090072495285198	0.115433105277821	0.080362011642473	0.259576946763942	0.1709286091391	0.290425459690822	0.074597808859596	0.090127188367275	0.098858443660594	0.116941893751972	0.11074337044818	0	0.127716018517967	0.111050142709096	0.111050142709096	0.088709689428723	0.102597977014997	0.119052016159169	0.095633434421923	0.103739730527164	0.152495523793143	0.084870627259831	0.098294520478575	0.114434301557339	0.119087093066118
3386_H	0.116172261241262	0.250734779825496	0.111043401160289	0.104856393319756	0.216204945522639	0.113924105443357	0.127982687802371	0.122109364941092	0.259587878411613	0.165230598642273	0.263336544531309	0.140228150501053	0.102104564658154	0.13411243923082	0.118762591479247	0.152948209234837	0.127716018517967	0	0.125698052218114	0.125698052218114	0.100368961667465	0.120484955410792	0.124594595857789	0.109379382503376	0.118826336911971	0.15685861287503	0.113927647751402	0.11228595563771	0.089293852363574	0.097266232622268
3386_I	0.10845567353384	0.323090557816303	0.090036255150869	0.105069875691911	0.27905263275426	0.107660530413296	0.140014659078577	0.132997562508192	0.263204546759565	0.16214547022813	0.339097558491086	0.091382944510831	0.115247494816197	0.116836913269175	0.14614220080689	0.14433148139459	0.111050142709096	0.125698052218114	0	0	0.12238946957156	0.121381763143104	0.125687755343761	0.103867877955393	0.121653295134266	0.147163646128277	0.099674596914235	0.116564856458614	0.126816302996473	0.12461996613192
3386_J	0.10845567353384	0.323090557816303	0.090036255150869	0.105069875691911	0.27905263275426	0.107660530413296	0.140014659078577	0.132997562508192	0.263204546759565	0.16214547022813	0.339097558491086	0.091382944510831	0.115247494816197	0.116836913269175	0.14614220080689	0.14433148139459	0.111050142709096	0.125698052218114	0	0	0.12238946957156	0.121381763143104	0.125687755343761	0.103867877955393	0.121653295134266	0.147163646128277	0.099674596914235	0.116564856458614	0.126816302996473	0.12461996613192
3386_M	0.092873308200405	0.270687168459716	0.066045465213182	0.082376526939606	0.219256498003008	0.115210409871845	0.102485888663558	0.085172140527315	0.259615595943138	0.161691471934302	0.267628692397929	0.085573332403722	0.078678282274261	0.084719544882768	0.090987382370304	0.151165555420735	0.088709689428723	0.100368961667465	0.12238946957156	0.12238946957156	0	0.100518820373106	0.129092724944425	0.10395879093692	0.104013072517022	0.138892024312906	0.112493904421356	0.098733525284065	0.118575472079161	0.111089563657111
3386_N	0.121891287131278	0.157270068973577	0.103131369390793	0.111230862161734	0.150277292707764	0.118861000009863	0.086738891700563	0.099237155476099	0.229810998071065	0.152149732873949	0.16405879494161	0.108411997830829	0.117834674038417	0.114511155587671	0.113320713691	0.115524542318272	0.102597977014997	0.120484955410792	0.121381763143104	0.121381763143104	0.100518820373106	0	0.119084123235766	0.116723184780795	0.085932108715327	0.130637854297673	0.108040001157938	0.080951137294408	0.118800837394758	0.123534274740826
3386_O	0.131062813110458	0.313707694594628	0.128613437432105	0.105204637315671	0.260106864810828	0.168817382340635	0.13324406428343	0.151545363355753	0.266767891435248	0.174231659697234	0.353137655384313	0.138628226675646	0.119661702916553	0.102572880548408	0.121414122114532	0.162080085834282	0.119052016159169	0.124594595857789	0.125687755343761	0.125687755343761	0.129092724944425	0.119084123235766	0	0.150800964715082	0.114117611461662	0.162503694462373	0.114890894699554	0.111059559036305	0.132890353481727	0.135099965582852
3386_S	0.124138856891589	0.304545571649186	0.102560696766853	0.101579797085852	0.256207276271853	0.116142993640736	0.122503512732631	0.129987758201312	0.262600068806029	0.167048688507114	0.310139366821248	0.110475275679849	0.102196919256263	0.107345827755124	0.137809678869708	0.148997635898155	0.095633434421923	0.109379382503376	0.103867877955393	0.103867877955393	0.10395879093692	0.116723184780795	0.150800964715082	0	0.112719505195251	0.15030957639685	0.100713070322647	0.098962965630357	0.098407963224896	0.121664191385114
3386_T	0.122910424428584	0.162465751568272	0.107136568474248	0.102952333861628	0.149498661652041	0.112858436528529	0.097543697973158	0.108385325455799	0.228086999265201	0.150685479965108	0.173444129878326	0.103868315352048	0.112130389806167	0.107324650882024	0.107623254598373	0.125204288303039	0.103739730527164	0.118826336911971	0.121653295134266	0.121653295134266	0.104013072517022	0.085932108715327	0.114117611461662	0.112719505195251	0	0.116879956732498	0.113381582601944	0.094559255402059	0.113843816704388	0.120979214102191
3386_U	0.140393901495672	0.380194424675135	0.156733897803106	0.13431419549443	0.347094554990412	0.167800125062717	0.152352571832978	0.17690096670588	0.269943017005052	0.188447233405074	0.407890454465063	0.141020045845241	0.138454523021484	0.129008918805172	0.157866149353193	0.213280130576411	0.152495523793143	0.15685861287503	0.147163646128277	0.147163646128277	0.138892024312906	0.130637854297673	0.162503694462373	0.15030957639685	0.116879956732498	0	0.134967680314397	0.114390499626108	0.170368583167171	0.140058616382897
3386_W	0.096431343724267	0.258434885154994	0.086694052576228	0.101274869188108	0.21959594009923	0.105959291643633	0.123792678790436	0.113429893008003	0.270505103527053	0.197701297438883	0.273014832797541	0.101227092888066	0.100196955821782	0.104240725499811	0.127833546306929	0.121226365673145	0.084870627259831	0.113927647751402	0.099674596914235	0.099674596914235	0.112493904421356	0.108040001157938	0.114890894699554	0.100713070322647	0.113381582601944	0.134967680314397	0	0.093211575709651	0.101122327860458	0.11097364411531
3386_X	0.109844468799379	0.162224706787571	0.093402285608564	0.099105151902269	0.142505204227715	0.106475829631757	0.09677113110563	0.097783371163278	0.234385945073867	0.147698510965697	0.160373680656016	0.095058770491994	0.100319651422194	0.09852512904767	0.105489225269887	0.107193402245644	0.098294520478575	0.11228595563771	0.116564856458614	0.116564856458614	0.098733525284065	0.080951137294408	0.111059559036305	0.098962965630357	0.094559255402059	0.114390499626108	0.093211575709651	0	0.103190839242467	0.110753486322789
3386_Y	0.11425727544472	0.266894955040788	0.124537446866809	0.126713311142272	0.233253483574441	0.119646371265489	0.128546450103857	0.129208998793942	0.261144175108242	0.158476077350338	0.275286278451624	0.103874037950233	0.088489380056163	0.123259213353901	0.120574189262425	0.157123698829779	0.114434301557339	0.089293852363574	0.126816302996473	0.126816302996473	0.118575472079161	0.118800837394758	0.132890353481727	0.098407963224896	0.113843816704388	0.170368583167171	0.101122327860458	0.103190839242467	0	0.121832980304702
3386_Z	0.128792957322604	0.285904020739993	0.11897637468438	0.118088273694615	0.236934472427702	0.134636874830375	0.138179751034429	0.127378139905842	0.263600788940921	0.153290985953726	0.279212122581957	0.115353395698066	0.12689448529336	0.10420263722726	0.136235460115546	0.162237340994591	0.119087093066118	0.097266232622268	0.12461996613192	0.12461996613192	0.111089563657111	0.123534274740826	0.135099965582852	0.121664191385114	0.120979214102191	0.140058616382897	0.11097364411531	0.110753486322789	0.121832980304702	0
